        Frequency / GHz                SZmin(2),Zmax(1) (29)/arg,degrees
----------------------------------------------------------------------
                       2                      -121.60593
                   2.003                      -121.80926
                   2.006                      -122.01247
                   2.009                      -122.21554
                   2.012                      -122.41849
                   2.015                      -122.62133
                   2.018                      -122.82404
                   2.021                      -123.02664
                   2.024                      -123.22913
                   2.027                      -123.43151
                    2.03                      -123.63379
                   2.033                      -123.83598
                   2.036                      -124.03807
                   2.039                      -124.24006
                   2.042                      -124.44197
                   2.045                       -124.6438
                   2.048                      -124.84555
                   2.051                      -125.04723
                   2.054                      -125.24884
                   2.057                      -125.45038
                    2.06                      -125.65187
                   2.063                      -125.85329
                   2.066                      -126.05467
                   2.069                        -126.256
                   2.072                      -126.45729
                   2.075                      -126.65855
                   2.078                      -126.85977
                   2.081                      -127.06097
                   2.084                      -127.26215
                   2.087                      -127.46332
                    2.09                      -127.66448
                   2.093                      -127.86563
                   2.096                      -128.06679
                   2.099                      -128.26795
                   2.102                      -128.46913
                   2.105                      -128.67033
                   2.108                      -128.87155
                   2.111                      -129.07281
                   2.114                      -129.27411
                   2.117                      -129.47546
                    2.12                      -129.67685
                   2.123                      -129.87831
                   2.126                      -130.07983
                   2.129                      -130.28142
                   2.132                       -130.4831
                   2.135                      -130.68486
                   2.138                      -130.88672
                   2.141                      -131.08868
                   2.144                      -131.29074
                   2.147                      -131.49293
                    2.15                      -131.69524
                   2.153                      -131.89768
                   2.156                      -132.10027
                   2.159                      -132.30301
                   2.162                       -132.5059
                   2.165                      -132.70896
                   2.168                      -132.91219
                   2.171                      -133.11561
                   2.174                      -133.31923
                   2.177                      -133.52304
                    2.18                      -133.72707
                   2.183                      -133.93132
                   2.186                      -134.13579
                   2.189                      -134.34051
                   2.192                      -134.54548
                   2.195                      -134.75071
                   2.198                      -134.95621
                   2.201                        -135.162
                   2.204                      -135.36807
                   2.207                      -135.57445
                    2.21                      -135.78114
                   2.213                      -135.98815
                   2.216                       -136.1955
                   2.219                       -136.4032
                   2.222                      -136.61126
                   2.225                      -136.81969
                   2.228                      -137.02851
                   2.231                      -137.23772
                   2.234                      -137.44734
                   2.237                      -137.65738
                    2.24                      -137.86785
                   2.243                      -138.07878
                   2.246                      -138.29016
                   2.249                      -138.50202
                   2.252                      -138.71437
                   2.255                      -138.92723
                   2.258                       -139.1406
                   2.261                       -139.3545
                   2.264                      -139.56895
                   2.267                      -139.78397
                    2.27                      -139.99956
                   2.273                      -140.21575
                   2.276                      -140.43255
                   2.279                      -140.64997
                   2.282                      -140.86804
                   2.285                      -141.08677
                   2.288                      -141.30618
                   2.291                      -141.52628
                   2.294                      -141.74709
                   2.297                      -141.96864
                     2.3                      -142.19094
                   2.303                        -142.414
                   2.306                      -142.63786
                   2.309                      -142.86252
                   2.312                      -143.08801
                   2.315                      -143.31435
                   2.318                      -143.54156
                   2.321                      -143.76966
                   2.324                      -143.99868
                   2.327                      -144.22863
                    2.33                      -144.45953
                   2.333                      -144.69142
                   2.336                      -144.92431
                   2.339                      -145.15822
                   2.342                      -145.39319
                   2.345                      -145.62924
                   2.348                      -145.86639
                   2.351                      -146.10466
                   2.354                      -146.34409
                   2.357                      -146.58471
                    2.36                      -146.82653
                   2.363                      -147.06959
                   2.366                      -147.31392
                   2.369                      -147.55954
                   2.372                      -147.80648
                   2.375                      -148.05479
                   2.378                      -148.30448
                   2.381                      -148.55559
                   2.384                      -148.80815
                   2.387                       -149.0622
                    2.39                      -149.31777
                   2.393                      -149.57489
                   2.396                      -149.83361
                   2.399                      -150.09395
                   2.402                      -150.35596
                   2.405                      -150.61967
                   2.408                      -150.88512
                   2.411                      -151.15236
                   2.414                      -151.42142
                   2.417                      -151.69234
                    2.42                      -151.96518
                   2.423                      -152.23997
                   2.426                      -152.51676
                   2.429                      -152.79559
                   2.432                      -153.07652
                   2.435                      -153.35958
                   2.438                      -153.64484
                   2.441                      -153.93235
                   2.444                      -154.22215
                   2.447                       -154.5143
                    2.45                      -154.80885
                   2.453                      -155.10587
                   2.456                       -155.4054
                   2.459                      -155.70752
                   2.462                      -156.01228
                   2.465                      -156.31975
                   2.468                      -156.62998
                   2.471                      -156.94305
                   2.474                      -157.25903
                   2.477                      -157.57799
                    2.48                      -157.89999
                   2.483                      -158.22512
                   2.486                      -158.55345
                   2.489                      -158.88506
                   2.492                      -159.22003
                   2.495                      -159.55845
                   2.498                      -159.90039
                   2.501                      -160.24596
                   2.504                      -160.59524
                   2.507                      -160.94832
                    2.51                       -161.3053
                   2.513                      -161.66629
                   2.516                      -162.03138
                   2.519                      -162.40068
                   2.522                      -162.77431
                   2.525                      -163.15236
                   2.528                      -163.53497
                   2.531                      -163.92225
                   2.534                      -164.31432
                   2.537                      -164.71131
                    2.54                      -165.11336
                   2.543                      -165.52059
                   2.546                      -165.93316
                   2.549                      -166.35121
                   2.552                      -166.77488
                   2.555                      -167.20433
                   2.558                      -167.63972
                   2.561                      -168.08122
                   2.564                        -168.529
                   2.567                      -168.98323
                    2.57                       -169.4441
                   2.573                       -169.9118
                   2.576                      -170.38651
                   2.579                      -170.86845
                   2.582                      -171.35782
                   2.585                      -171.85484
                   2.588                      -172.35972
                   2.591                      -172.87271
                   2.594                      -173.39403
                   2.597                      -173.92394
                     2.6                      -174.46268
                   2.603                      -175.01053
                   2.606                      -175.56775
                   2.609                      -176.13462
                   2.612                      -176.71143
                   2.615                      -177.29849
                   2.618                      -177.89611
                   2.621                      -178.50459
                   2.624                      -179.12428
                   2.627                      -179.75551
                    2.63                       179.60137
                   2.633                       178.94599
                   2.636                       178.27799
                   2.639                       177.59697
                   2.642                       176.90256
                   2.645                       176.19433
                   2.648                       175.47188
                   2.651                       174.73477
                   2.654                       173.98258
                   2.657                       173.21485
                    2.66                       172.43112
                   2.663                       171.63093
                   2.666                        170.8138
                   2.669                       169.97925
                   2.672                       169.12678
                   2.675                        168.2559
                   2.678                       167.36611
                   2.681                       166.45689
                   2.684                       165.52774
                   2.687                       164.57816
                    2.69                       163.60763
                   2.693                       162.61566
                   2.696                       161.60176
                   2.699                       160.56543
                   2.702                       159.50622
                   2.705                       158.42368
                   2.708                       157.31737
                   2.711                       156.18689
                   2.714                       155.03188
                   2.717                         153.852
                    2.72                       152.64697
                   2.723                       151.41654
                   2.726                       150.16052
                   2.729                        148.8788
                   2.732                       147.57131
                   2.735                       146.23807
                   2.738                       144.87919
                   2.741                       143.49485
                   2.744                       142.08534
                   2.747                       140.65104
                    2.75                       139.19245
                   2.753                       137.71018
                   2.756                       136.20493
                   2.759                       134.67756
                   2.762                       133.12903
                   2.765                       131.56042
                   2.768                       129.97293
                   2.771                        128.3679
                   2.774                       126.74675
                   2.777                       125.11103
                    2.78                       123.46239
                   2.783                       121.80257
                   2.786                       120.13338
                   2.789                       118.45671
                   2.792                       116.77449
                   2.795                        115.0887
                   2.798                       113.40134
                   2.801                       111.71441
                   2.804                       110.02991
                   2.807                       108.34981
                    2.81                       106.67603
                   2.813                       105.01045
                   2.816                       103.35488
                   2.819                       101.71102
                   2.822                       100.08052
                   2.825                       98.464895
                   2.828                       96.865562
                   2.831                       95.283824
                   2.834                       93.720863
                   2.837                       92.177742
                    2.84                       90.655399
                   2.843                       89.154653
                   2.846                       87.676206
                   2.849                        86.22064
                   2.852                        84.78843
                   2.855                       83.379943
                   2.858                       81.995447
