        Frequency / GHz                SZmin(2),Zmax(1) (31)/abs,dB
----------------------------------------------------------------------
                       2                      -37.197661
                   2.003                      -37.146703
                   2.006                      -37.095569
                   2.009                      -37.044256
                   2.012                      -36.992764
                   2.015                      -36.941091
                   2.018                      -36.889237
                   2.021                        -36.8372
                   2.024                       -36.78498
                   2.027                      -36.732575
                    2.03                      -36.679983
                   2.033                      -36.627205
                   2.036                      -36.574238
                   2.039                      -36.521081
                   2.042                      -36.467734
                   2.045                      -36.414194
                   2.048                      -36.360461
                   2.051                      -36.306534
                   2.054                      -36.252411
                   2.057                       -36.19809
                    2.06                      -36.143571
                   2.063                      -36.088853
                   2.066                      -36.033933
                   2.069                      -35.978811
                   2.072                      -35.923484
                   2.075                      -35.867953
                   2.078                      -35.812215
                   2.081                      -35.756269
                   2.084                      -35.700114
                   2.087                      -35.643748
                    2.09                      -35.587169
                   2.093                      -35.530376
                   2.096                      -35.473368
                   2.099                      -35.416144
                   2.102                        -35.3587
                   2.105                      -35.301037
                   2.108                      -35.243153
                   2.111                      -35.185045
                   2.114                      -35.126712
                   2.117                      -35.068153
                    2.12                      -35.009367
                   2.123                       -34.95035
                   2.126                      -34.891102
                   2.129                      -34.831621
                   2.132                      -34.771906
                   2.135                      -34.711954
                   2.138                      -34.651763
                   2.141                      -34.591333
                   2.144                      -34.530661
                   2.147                      -34.469745
                    2.15                      -34.408584
                   2.153                      -34.347175
                   2.156                      -34.285518
                   2.159                      -34.223609
                   2.162                      -34.161447
                   2.165                       -34.09903
                   2.168                      -34.036356
                   2.171                      -33.973423
                   2.174                      -33.910229
                   2.177                      -33.846772
                    2.18                       -33.78305
                   2.183                      -33.719061
                   2.186                      -33.654803
                   2.189                      -33.590273
                   2.192                       -33.52547
                   2.195                      -33.460391
                   2.198                      -33.395035
                   2.201                      -33.329398
                   2.204                      -33.263478
                   2.207                      -33.197274
                    2.21                      -33.130783
                   2.213                      -33.064003
                   2.216                      -32.996931
                   2.219                      -32.929565
