        Frequency / GHz                SZmin(2),Zmax(1) (20)/abs,dB
----------------------------------------------------------------------
                       2                      -45.068708
                   2.003                      -45.054719
                   2.006                      -45.040658
                   2.009                      -45.026524
                   2.012                      -45.012317
                   2.015                      -44.998037
                   2.018                      -44.983681
                   2.021                      -44.969251
                   2.024                      -44.954745
                   2.027                      -44.940162
                    2.03                      -44.925501
                   2.033                      -44.910763
                   2.036                      -44.895946
                   2.039                      -44.881049
                   2.042                      -44.866072
                   2.045                      -44.851014
                   2.048                      -44.835875
                   2.051                      -44.820653
                   2.054                      -44.805348
                   2.057                      -44.789959
                    2.06                      -44.774486
                   2.063                      -44.758927
                   2.066                      -44.743283
                   2.069                      -44.727551
                   2.072                      -44.711732
                   2.075                      -44.695825
                   2.078                      -44.679828
                   2.081                      -44.663742
                   2.084                      -44.647566
                   2.087                      -44.631298
                    2.09                      -44.614938
                   2.093                      -44.598486
                   2.096                      -44.581939
                   2.099                      -44.565299
                   2.102                      -44.548564
                   2.105                      -44.531733
                   2.108                      -44.514805
                   2.111                       -44.49778
                   2.114                      -44.480657
                   2.117                      -44.463435
                    2.12                      -44.446114
                   2.123                      -44.428692
                   2.126                      -44.411169
                   2.129                      -44.393545
                   2.132                      -44.375818
                   2.135                      -44.357987
                   2.138                      -44.340053
                   2.141                      -44.322013
                   2.144                      -44.303868
                   2.147                      -44.285616
                    2.15                      -44.267258
                   2.153                      -44.248791
                   2.156                      -44.230216
                   2.159                      -44.211532
                   2.162                      -44.192737
                   2.165                      -44.173831
                   2.168                      -44.154814
                   2.171                      -44.135684
                   2.174                      -44.116441
                   2.177                      -44.097085
                    2.18                      -44.077613
                   2.183                      -44.058026
                   2.186                      -44.038323
                   2.189                      -44.018504
                   2.192                      -43.998566
                   2.195                       -43.97851
                   2.198                      -43.958335
                   2.201                      -43.938041
                   2.204                      -43.917625
                   2.207                      -43.897089
                    2.21                       -43.87643
                   2.213                      -43.855649
                   2.216                      -43.834744
                   2.219                      -43.813715
                   2.222                      -43.792561
                   2.225                      -43.771282
                   2.228                      -43.749876
                   2.231                      -43.728343
                   2.234                      -43.706683
                   2.237                      -43.684894
                    2.24                      -43.662976
                   2.243                      -43.640928
                   2.246                       -43.61875
                   2.249                      -43.596441
                   2.252                      -43.573999
                   2.255                      -43.551426
                   2.258                      -43.528719
                   2.261                      -43.505878
                   2.264                      -43.482903
                   2.267                      -43.459792
                    2.27                      -43.436546
                   2.273                      -43.413163
                   2.276                      -43.389643
                   2.279                      -43.365985
                   2.282                      -43.342189
                   2.285                      -43.318254
                   2.288                      -43.294179
                   2.291                      -43.269964
                   2.294                      -43.245608
                   2.297                      -43.221111
                     2.3                      -43.196471
                   2.303                      -43.171689
                   2.306                      -43.146763
                   2.309                      -43.121693
                   2.312                      -43.096479
                   2.315                       -43.07112
                   2.318                      -43.045615
                   2.321                      -43.019964
                   2.324                      -42.994167
                   2.327                      -42.968221
                    2.33                      -42.942128
                   2.333                      -42.915887
                   2.336                      -42.889497
                   2.339                      -42.862957
                   2.342                      -42.836267
                   2.345                      -42.809427
                   2.348                      -42.782435
                   2.351                      -42.755292
                   2.354                      -42.727997
                   2.357                      -42.700549
                    2.36                      -42.672948
                   2.363                      -42.645194
                   2.366                      -42.617286
                   2.369                      -42.589223
                   2.372                      -42.561005
                   2.375                      -42.532632
                   2.378                      -42.504103
                   2.381                      -42.475418
                   2.384                      -42.446576
                   2.387                      -42.417577
                    2.39                       -42.38842
                   2.393                      -42.359105
                   2.396                      -42.329632
                   2.399                           -42.3
                   2.402                      -42.270208
                   2.405                      -42.240257
                   2.408                      -42.210146
                   2.411                      -42.179875
                   2.414                      -42.149442
                   2.417                      -42.118849
                    2.42                      -42.088094
                   2.423                      -42.057178
                   2.426                      -42.026099
                   2.429                      -41.994857
                   2.432                      -41.963453
                   2.435                      -41.931885
                   2.438                      -41.900154
                   2.441                      -41.868259
                   2.444                        -41.8362
                   2.447                      -41.803977
                    2.45                      -41.771588
                   2.453                      -41.739035
                   2.456                      -41.706316
                   2.459                      -41.673432
                   2.462                      -41.640382
                   2.465                      -41.607166
                   2.468                      -41.573783
                   2.471                      -41.540234
                   2.474                      -41.506517
                   2.477                      -41.472634
                    2.48                      -41.438583
                   2.483                      -41.404365
                   2.486                      -41.369979
                   2.489                      -41.335424
                   2.492                      -41.300702
                   2.495                      -41.265811
                   2.498                      -41.230751
                   2.501                      -41.195522
                   2.504                      -41.160125
                   2.507                      -41.124558
                    2.51                      -41.088821
                   2.513                      -41.052915
                   2.516                       -41.01684
                   2.519                      -40.980594
                   2.522                      -40.944178
                   2.525                      -40.907592
                   2.528                      -40.870836
                   2.531                      -40.833909
                   2.534                      -40.796811
                   2.537                      -40.759542
                    2.54                      -40.722103
                   2.543                      -40.684492
                   2.546                       -40.64671
                   2.549                      -40.608757
                   2.552                      -40.570632
                   2.555                      -40.532336
                   2.558                      -40.493868
                   2.561                      -40.455228
                   2.564                      -40.416416
                   2.567                      -40.377432
                    2.57                      -40.338277
                   2.573                      -40.298949
                   2.576                      -40.259448
                   2.579                      -40.219776
                   2.582                       -40.17993
                   2.585                      -40.139913
                   2.588                      -40.099723
                   2.591                       -40.05936
                   2.594                      -40.018824
                   2.597                      -39.978115
                     2.6                      -39.937234
                   2.603                       -39.89618
                   2.606                      -39.854952
                   2.609                      -39.813552
                   2.612                      -39.771978
                   2.615                      -39.730231
                   2.618                      -39.688311
                   2.621                      -39.646218
                   2.624                      -39.603951
                   2.627                       -39.56151
                    2.63                      -39.518897
                   2.633                      -39.476109
                   2.636                      -39.433149
                   2.639                      -39.390014
                   2.642                      -39.346706
                   2.645                      -39.303224
                   2.648                      -39.259568
                   2.651                      -39.215739
                   2.654                      -39.171735
                   2.657                      -39.127558
                    2.66                      -39.083206
                   2.663                      -39.038681
                   2.666                      -38.993981
                   2.669                      -38.949108
                   2.672                       -38.90406
                   2.675                      -38.858838
                   2.678                      -38.813441
                   2.681                      -38.767871
                   2.684                      -38.722125
                   2.687                      -38.676206
                    2.69                      -38.630112
                   2.693                      -38.583843
                   2.696                      -38.537399
                   2.699                      -38.490781
                   2.702                      -38.443988
                   2.705                      -38.397021
                   2.708                      -38.349878
                   2.711                       -38.30256
                   2.714                      -38.255067
                   2.717                      -38.207399
                    2.72                      -38.159556
                   2.723                      -38.111538
                   2.726                      -38.063344
                   2.729                      -38.014974
                   2.732                      -37.966429
                   2.735                      -37.917708
                   2.738                      -37.868812
                   2.741                      -37.819739
