        Frequency / GHz                SZmin(2),Zmax(1) (29)/abs,dB
----------------------------------------------------------------------
                       2                      -31.762457
                   2.003                       -31.72844
                   2.006                      -31.694243
                   2.009                      -31.659867
                   2.012                       -31.62531
                   2.015                      -31.590571
                   2.018                      -31.555648
                   2.021                      -31.520541
                   2.024                      -31.485247
                   2.027                      -31.449766
                    2.03                      -31.414096
                   2.033                      -31.378236
                   2.036                      -31.342185
                   2.039                      -31.305941
                   2.042                      -31.269502
                   2.045                      -31.232869
                   2.048                      -31.196038
                   2.051                       -31.15901
                   2.054                      -31.121781
                   2.057                      -31.084352
                    2.06                       -31.04672
                   2.063                      -31.008885
                   2.066                      -30.970844
                   2.069                      -30.932596
                   2.072                       -30.89414
                   2.075                      -30.855475
                   2.078                      -30.816598
                   2.081                      -30.777509
                   2.084                      -30.738205
                   2.087                      -30.698686
                    2.09                       -30.65895
                   2.093                      -30.618995
                   2.096                       -30.57882
                   2.099                      -30.538422
                   2.102                      -30.497802
                   2.105                      -30.456956
                   2.108                      -30.415884
                   2.111                      -30.374583
                   2.114                      -30.333053
                   2.117                      -30.291291
                    2.12                      -30.249296
                   2.123                      -30.207066
                   2.126                        -30.1646
                   2.129                      -30.121895
                   2.132                      -30.078951
                   2.135                      -30.035765
                   2.138                      -29.992335
                   2.141                      -29.948661
                   2.144                      -29.904739
                   2.147                      -29.860569
                    2.15                      -29.816148
                   2.153                      -29.771476
                   2.156                      -29.726549
                   2.159                      -29.681366
                   2.162                      -29.635925
                   2.165                      -29.590225
                   2.168                      -29.544263
                   2.171                      -29.498038
                   2.174                      -29.451547
                   2.177                      -29.404789
                    2.18                      -29.357762
                   2.183                      -29.310464
                   2.186                      -29.262892
                   2.189                      -29.215045
                   2.192                      -29.166921
                   2.195                      -29.118518
                   2.198                      -29.069833
                   2.201                      -29.020865
                   2.204                      -28.971612
                   2.207                       -28.92207
                    2.21                       -28.87224
                   2.213                      -28.822117
                   2.216                        -28.7717
                   2.219                      -28.720987
                   2.222                      -28.669975
                   2.225                      -28.618662
                   2.228                      -28.567047
                   2.231                      -28.515126
                   2.234                      -28.462898
                   2.237                       -28.41036
                    2.24                       -28.35751
                   2.243                      -28.304345
                   2.246                      -28.250863
                   2.249                      -28.197061
                   2.252                      -28.142938
                   2.255                      -28.088491
                   2.258                      -28.033716
                   2.261                      -27.978613
                   2.264                      -27.923177
                   2.267                      -27.867408
                    2.27                      -27.811301
                   2.273                      -27.754854
                   2.276                      -27.698065
                   2.279                      -27.640932
                   2.282                       -27.58345
                   2.285                      -27.525619
                   2.288                      -27.467434
                   2.291                      -27.408893
                   2.294                      -27.349993
                   2.297                      -27.290732
                     2.3                      -27.231107
                   2.303                      -27.171114
                   2.306                       -27.11075
                   2.309                      -27.050014
                   2.312                      -26.988901
                   2.315                      -26.927408
                   2.318                      -26.865534
                   2.321                      -26.803273
                   2.324                      -26.740624
                   2.327                      -26.677583
                    2.33                      -26.614147
                   2.333                      -26.550312
                   2.336                      -26.486076
                   2.339                      -26.421435
                   2.342                      -26.356385
                   2.345                      -26.290924
