        Frequency / GHz                SZmin(2),Zmax(1) (30)/arg,degrees
----------------------------------------------------------------------
                       2                      -3.3119753
                   2.003                      -5.4089427
                   2.006                      -7.5652714
                   2.009                      -9.7788278
                   2.012                      -12.046768
                   2.015                      -14.365507
                   2.018                      -16.730708
                   2.021                      -19.137298
                   2.024                      -21.579495
                   2.027                      -24.050884
                    2.03                      -26.544496
                   2.033                      -29.052931
                   2.036                      -31.568487
                   2.039                      -34.083314
                   2.042                      -36.589565
                   2.045                      -39.079558
                   2.048                       -41.54592
                   2.051                      -43.981725
                   2.054                      -46.380601
                   2.057                      -48.736822
                    2.06                      -51.045369
                   2.063                      -53.301965
                   2.066                      -55.503083
                   2.069                      -57.645936
                   2.072                      -59.728443
                   2.075                      -61.749187
                   2.078                      -63.707351
                   2.081                      -65.602666
                   2.084                      -67.435335
                   2.087                      -69.205971
                    2.09                      -70.915533
                   2.093                      -72.565263
                   2.096                      -74.156632
                   2.099                      -75.691289
                   2.102                      -77.171015
                   2.105                      -78.597684
                   2.108                      -79.973233
                   2.111                      -81.299627
                   2.114                      -82.578841
                   2.117                       -83.81284
                    2.12                       -85.00356
                   2.123                      -86.152897
                   2.126                      -87.262699
                   2.129                       -88.33476
                   2.132                      -89.370809
                   2.135                      -90.372513
                   2.138                       -91.34147
                   2.141                      -92.279212
                   2.144                      -93.187203
                   2.147                      -94.066837
                    2.15                      -94.919446
                   2.153                      -95.746295
                   2.156                      -96.548588
                   2.159                      -97.327466
                   2.162                      -98.084016
                   2.165                      -98.819266
                   2.168                      -99.534193
                   2.171                      -100.22972
                   2.174                      -100.90673
                   2.177                      -101.56606
                    2.18                      -102.20848
                   2.183                      -102.83475
                   2.186                      -103.44558
                   2.189                      -104.04164
                   2.192                      -104.62356
                   2.195                      -105.19196
                   2.198                       -105.7474
                   2.201                      -106.29042
                   2.204                      -106.82155
                   2.207                      -107.34128
                    2.21                      -107.85006
                   2.213                      -108.34835
                   2.216                      -108.83656
                   2.219                       -109.3151
                   2.222                      -109.78434
                   2.225                      -110.24465
                   2.228                      -110.69637
                   2.231                      -111.13984
                   2.234                      -111.57535
                   2.237                      -112.00322
                    2.24                      -112.42372
                   2.243                      -112.83714
                   2.246                      -113.24372
                   2.249                      -113.64371
                   2.252                      -114.03735
                   2.255                      -114.42488
                   2.258                      -114.80649
                   2.261                      -115.18241
                   2.264                      -115.55282
                   2.267                      -115.91792
                    2.27                      -116.27789
                   2.273                       -116.6329
                   2.276                      -116.98312
                   2.279                      -117.32871
                   2.282                      -117.66982
                   2.285                       -118.0066
                   2.288                      -118.33919
                   2.291                      -118.66773
                   2.294                      -118.99234
                   2.297                      -119.31315
                     2.3                      -119.63029
                   2.303                      -119.94387
                   2.306                      -120.25399
                   2.309                      -120.56077
                   2.312                      -120.86432
                   2.315                      -121.16473
                   2.318                      -121.46209
                   2.321                       -121.7565
                   2.324                      -122.04806
                   2.327                      -122.33684
                    2.33                      -122.62293
                   2.333                      -122.90641
                   2.336                      -123.18735
                   2.339                      -123.46585
                   2.342                      -123.74196
                   2.345                      -124.01575
                   2.348                       -124.2873
                   2.351                      -124.55668
                   2.354                      -124.82394
                   2.357                      -125.08914
                    2.36                      -125.35235
                   2.363                      -125.61363
                   2.366                      -125.87303
                   2.369                      -126.13061
                   2.372                      -126.38641
                   2.375                       -126.6405
                   2.378                      -126.89292
                   2.381                      -127.14371
                   2.384                      -127.39294
                   2.387                      -127.64063
                    2.39                      -127.88685
                   2.393                      -128.13162
                   2.396                        -128.375
                   2.399                      -128.61703
                   2.402                      -128.85773
                   2.405                      -129.09717
                   2.408                      -129.33536
                   2.411                      -129.57235
                   2.414                      -129.80817
                   2.417                      -130.04287
                    2.42                      -130.27647
                   2.423                        -130.509
                   2.426                      -130.74051
                   2.429                      -130.97102
                   2.432                      -131.20056
                   2.435                      -131.42916
                   2.438                      -131.65686
                   2.441                      -131.88368
                   2.444                      -132.10965
                   2.447                       -132.3348
                    2.45                      -132.55916
                   2.453                      -132.78274
                   2.456                      -133.00559
                   2.459                      -133.22772
                   2.462                      -133.44916
                   2.465                      -133.66993
                   2.468                      -133.89006
                   2.471                      -134.10957
                   2.474                      -134.32848
                   2.477                      -134.54682
                    2.48                       -134.7646
                   2.483                      -134.98186
                   2.486                      -135.19861
                   2.489                      -135.41486
                   2.492                      -135.63066
                   2.495                        -135.846
                   2.498                      -136.06092
                   2.501                      -136.27542
                   2.504                      -136.48954
                   2.507                      -136.70329
                    2.51                      -136.91669
                   2.513                      -137.12975
                   2.516                      -137.34249
                   2.519                      -137.55494
                   2.522                       -137.7671
                   2.525                      -137.97901
                   2.528                      -138.19066
                   2.531                      -138.40208
                   2.534                      -138.61329
                   2.537                       -138.8243
                    2.54                      -139.03512
                   2.543                      -139.24578
                   2.546                      -139.45628
                   2.549                      -139.66664
                   2.552                      -139.87689
                   2.555                      -140.08702
                   2.558                      -140.29706
                   2.561                      -140.50702
                   2.564                      -140.71691
                   2.567                      -140.92676
                    2.57                      -141.13656
                   2.573                      -141.34634
                   2.576                      -141.55611
                   2.579                      -141.76587
                   2.582                      -141.97566
                   2.585                      -142.18547
                   2.588                      -142.39532
                   2.591                      -142.60522
                   2.594                      -142.81519
                   2.597                      -143.02523
                     2.6                      -143.23536
                   2.603                       -143.4456
                   2.606                      -143.65594
                   2.609                      -143.86641
                   2.612                      -144.07702
                   2.615                      -144.28777
                   2.618                      -144.49868
                   2.621                      -144.70976
                   2.624                      -144.92102
                   2.627                      -145.13247
                    2.63                      -145.34412
                   2.633                      -145.55599
                   2.636                      -145.76808
                   2.639                       -145.9804
                   2.642                      -146.19297
                   2.645                      -146.40579
                   2.648                      -146.61888
                   2.651                      -146.83224
                   2.654                      -147.04588
                   2.657                      -147.25982
                    2.66                      -147.47407
                   2.663                      -147.68863
                   2.666                      -147.90351
                   2.669                      -148.11872
                   2.672                      -148.33428
                   2.675                      -148.55019
                   2.678                      -148.76646
                   2.681                       -148.9831
                   2.684                      -149.20012
                   2.687                      -149.41753
                    2.69                      -149.63533
                   2.693                      -149.85354
                   2.696                      -150.07217
                   2.699                      -150.29122
                   2.702                      -150.51071
                   2.705                      -150.73063
                   2.708                      -150.95101
                   2.711                      -151.17184
                   2.714                      -151.39315
                   2.717                      -151.61492
                    2.72                      -151.83718
                   2.723                      -152.05994
                   2.726                      -152.28319
                   2.729                      -152.50695
                   2.732                      -152.73123
                   2.735                      -152.95603
                   2.738                      -153.18136
                   2.741                      -153.40724
                   2.744                      -153.63366
                   2.747                      -153.86064
                    2.75                      -154.08819
                   2.753                       -154.3163
                   2.756                        -154.545
                   2.759                      -154.77428
                   2.762                      -155.00416
                   2.765                      -155.23464
                   2.768                      -155.46573
                   2.771                      -155.69744
                   2.774                      -155.92978
                   2.777                      -156.16274
                    2.78                      -156.39635
                   2.783                       -156.6306
                   2.786                      -156.86551
                   2.789                      -157.10109
                   2.792                      -157.33733
                   2.795                      -157.57425
                   2.798                      -157.81185
                   2.801                      -158.05014
                   2.804                      -158.28913
                   2.807                      -158.52883
                    2.81                      -158.76924
                   2.813                      -159.01037
                   2.816                      -159.25223
                   2.819                      -159.49482
                   2.822                      -159.73815
                   2.825                      -159.98223
                   2.828                      -160.22707
                   2.831                      -160.47266
                   2.834                      -160.71903
                   2.837                      -160.96617
                    2.84                      -161.21409
                   2.843                      -161.46281
                   2.846                      -161.71232
                   2.849                      -161.96264
                   2.852                      -162.21376
                   2.855                       -162.4657
                   2.858                      -162.71847
                   2.861                      -162.97207
                   2.864                      -163.22651
                   2.867                      -163.48179
                    2.87                      -163.73792
                   2.873                      -163.99491
                   2.876                      -164.25277
                   2.879                       -164.5115
                   2.882                      -164.77111
                   2.885                       -165.0316
                   2.888                      -165.29299
                   2.891                      -165.55527
                   2.894                      -165.81847
                   2.897                      -166.08257
                     2.9                       -166.3476
                   2.903                      -166.61355
                   2.906                      -166.88044
                   2.909                      -167.14827
                   2.912                      -167.41704
                   2.915                      -167.68678
                   2.918                      -167.95747
                   2.921                      -168.22913
                   2.924                      -168.50177
                   2.927                      -168.77539
                    2.93                      -169.04999
                   2.933                       -169.3256
                   2.936                      -169.60221
                   2.939                      -169.87983
                   2.942                      -170.15846
                   2.945                      -170.43813
                   2.948                      -170.71882
                   2.951                      -171.00055
                   2.954                      -171.28333
                   2.957                      -171.56717
                    2.96                      -171.85206
                   2.963                      -172.13802
                   2.966                      -172.42506
                   2.969                      -172.71318
                   2.972                      -173.00239
                   2.975                       -173.2927
                   2.978                      -173.58412
                   2.981                      -173.87664
                   2.984                      -174.17029
                   2.987                      -174.46507
                    2.99                      -174.76098
                   2.993                      -175.05803
                   2.996                      -175.35624
                   2.999                       -175.6556
                   3.002                      -175.95613
                   3.005                      -176.25784
                   3.008                      -176.56073
                   3.011                      -176.86481
                   3.014                      -177.17009
                   3.017                      -177.47657
                    3.02                      -177.78428
                   3.023                       -178.0932
                   3.026                      -178.40336
                   3.029                      -178.71476
                   3.032                      -179.02741
                   3.035                      -179.34132
                   3.038                      -179.65649
                   3.041                      -179.97294
                   3.044                       179.70933
                   3.047                       179.39031
                    3.05                       179.06998
                   3.053                       178.74834
                   3.056                       178.42538
                   3.059                       178.10109
                   3.062                       177.77546
                   3.065                       177.44848
                   3.068                       177.12014
                   3.071                       176.79044
                   3.074                       176.45936
                   3.077                       176.12688
                    3.08                       175.79302
                   3.083                       175.45774
                   3.086                       175.12104
                   3.089                       174.78292
                   3.092                       174.44335
                   3.095                       174.10234
                   3.098                       173.75986
                   3.101                       173.41591
                   3.104                       173.07048
                   3.107                       172.72356
                    3.11                       172.37512
                   3.113                       172.02518
                   3.116                        171.6737
                   3.119                       171.32068
                   3.122                       170.96611
                   3.125                       170.60997
                   3.128                       170.25226
                   3.131                       169.89295
                   3.134                       169.53205
                   3.137                       169.16953
                    3.14                       168.80538
                   3.143                       168.43958
                   3.146                       168.07214
                   3.149                       167.70302
                   3.152                       167.33222
                   3.155                       166.95973
                   3.158                       166.58552
                   3.161                       166.20959
                   3.164                       165.83192
                   3.167                       165.45249
                    3.17                       165.07129
                   3.173                       164.68831
                   3.176                       164.30352
                   3.179                       163.91692
                   3.182                       163.52848
                   3.185                       163.13819
                   3.188                       162.74604
                   3.191                         162.352
                   3.194                       161.95606
                   3.197                        161.5582
                     3.2                       161.15841
                   3.203                       160.75666
                   3.206                       160.35293
                   3.209                       159.94722
                   3.212                       159.53949
                   3.215                       159.12973
                   3.218                       158.71792
                   3.221                       158.30404
                   3.224                       157.88807
                   3.227                       157.46998
                    3.23                       157.04976
                   3.233                       156.62738
                   3.236                       156.20283
                   3.239                       155.77608
                   3.242                        155.3471
                   3.245                       154.91587
                   3.248                       154.48238
                   3.251                       154.04658
                   3.254                       153.60847
                   3.257                       153.16802
                    3.26                       152.72519
                   3.263                       152.27996
                   3.266                       151.83231
                   3.269                       151.38221
                   3.272                       150.92963
                   3.275                       150.47454
                   3.278                       150.01692
                   3.281                       149.55673
                   3.284                       149.09394
                   3.287                       148.62852
                    3.29                       148.16045
                   3.293                       147.68968
                   3.296                       147.21619
                   3.299                       146.73995
                   3.302                       146.26091
                   3.305                       145.77905
                   3.308                       145.29432
                   3.311                        144.8067
                   3.314                       144.31614
                   3.317                       143.82261
                    3.32                       143.32607
                   3.323                       142.82647
                   3.326                       142.32379
                   3.329                       141.81797
                   3.332                       141.30897
                   3.335                       140.79676
                   3.338                       140.28128
                   3.341                        139.7625
                   3.344                       139.24036
                   3.347                       138.71482
                    3.35                       138.18583
                   3.353                       137.65334
                   3.356                        137.1173
                   3.359                       136.57766
                   3.362                       136.03437
                   3.365                       135.48737
                   3.368                        134.9366
                   3.371                       134.38202
                   3.374                       133.82356
                   3.377                       133.26116
                    3.38                       132.69477
                   3.383                       132.12431
                   3.386                       131.54973
                   3.389                       130.97097
                   3.392                       130.38795
                   3.395                       129.80061
                   3.398                       129.20887
                   3.401                       128.61268
                   3.404                       128.01194
                   3.407                        127.4066
                    3.41                       126.79657
                   3.413                       126.18177
                   3.416                       125.56212
                   3.419                       124.93755
                   3.422                       124.30796
                   3.425                       123.67327
                   3.428                        123.0334
                   3.431                       122.38825
                   3.434                       121.73772
                   3.437                       121.08173
                    3.44                       120.42018
                   3.443                       119.75297
                   3.446                          119.08
                   3.449                       118.40115
                   3.452                       117.71634
                   3.455                       117.02544
                   3.458                       116.32834
                   3.461                       115.62494
                   3.464                        114.9151
                   3.467                       114.19873
                    3.47                       113.47568
                   3.473                       112.74584
                   3.476                       112.00908
                   3.479                       111.26526
                   3.482                       110.51426
                   3.485                       109.75593
                   3.488                       108.99015
                   3.491                       108.21675
                   3.494                        107.4356
                   3.497                       106.64656
                     3.5                       105.84946
                   3.503                       105.04415
                   3.506                       104.23048
                   3.509                       103.40828
                   3.512                       102.57739
                   3.515                       101.73764
                   3.518                       100.88887
                   3.521                       100.03089
                   3.524                       99.163548
                   3.527                       98.286649
                    3.53                       97.400017
                   3.533                       96.503469
                   3.536                        95.59682
                   3.539                       94.679883
                   3.542                       93.752468
                   3.545                       92.814385
                   3.548                       91.865441
                   3.551                       90.905442
                   3.554                       89.934194
                   3.557                       88.951503
                    3.56                       87.957172
                   3.563                       86.951006
                   3.566                       85.932812
                   3.569                       84.902397
                   3.572                       83.859568
